Date,Rice
1/4/2011,97.5
1/5/2011,98.9
1/6/2011,99.4
1/7/2011,100.1
1/8/2011,101.3
1/9/2011,101.5
1/10/2011,101.5
1/11/2011,100.8
1/12/2011,99.2
1/1/2012,99.5
1/2/2012,99.5
1/3/2012,100.9
1/4/2012,104.2
1/5/2012,104.2
1/6/2012,107
1/7/2012,111
1/8/2012,114
1/9/2012,116.1
1/10/2012,116.6
1/11/2012,116.3
1/12/2012,115.9
1/1/2013,116.7
1/2/2013,117.9
1/3/2013,118.7
1/4/2013,120.4
1/5/2013,121.9
1/6/2013,124.9
1/7/2013,129.4
1/8/2013,132
1/9/2013,131.3
1/10/2013,131
1/11/2013,131.3
1/12/2013,130.6
1/1/2014,131.1
1/2/2014,132.3
1/3/2014,132.6
1/4/2014,133.7
1/5/2014,136
1/6/2014,137.2
1/7/2014,139.6
1/8/2014,140.5
1/9/2014,140.5
1/10/2014,140
1/11/2014,138
1/12/2014,134.6
1/1/2015,133.5
1/2/2015,134.1
1/3/2015,132
1/4/2015,132.6
1/5/2015,134.2
1/6/2015,133.6
1/7/2015,133.4
1/8/2015,133.9
1/9/2015,135.2
1/10/2015,135.8
1/11/2015,135.6
1/12/2015,135.4
1/1/2016,135.8
1/2/2016,135.3
1/3/2016,135.2
1/4/2016,136.3
1/5/2016,139.1
1/6/2016,142.2
1/7/2016,144.2
1/8/2016,144.6
1/9/2016,144.7
1/10/2016,145.1
1/11/2016,145
1/12/2016,144.2
1/1/2017,143.8
1/2/2017,146.4
1/3/2017,147.7
1/4/2017,147.6
1/5/2017,148
1/6/2017,148.4
1/7/2017,149.1
1/8/2017,148.5
1/9/2017,148.8
1/10/2017,149.6
1/11/2017,149.2
1/12/2017,148.8
1/1/2018,150.4
1/2/2018,151.4
1/3/2018,152.6
1/4/2018,153.3
1/5/2018,154.2
1/6/2018,153.9
1/7/2018,155
1/8/2018,155.6
1/9/2018,155.7
1/10/2018,155.7
1/11/2018,155.5
1/12/2018,155.7
1/1/2019,155.8
1/2/2019,156.5
1/3/2019,156.6
1/4/2019,157
1/5/2019,157.6
1/6/2019,158.4
1/7/2019,159.9
1/8/2019,160.8
1/9/2019,161.9
1/10/2019,162.7
1/11/2019,162.1
1/12/2019,162
1/1/2020,162.3
1/2/2020,162.3
1/3/2020,159.3
1/4/2020,162.7
1/5/2020,163.1
1/6/2020,165.6
1/7/2020,165.8
1/8/2020,165.4
1/9/2020,165
1/10/2020,163.7
1/11/2020,163.1
1/12/2020,162.2
1/1/2021,162.1
1/2/2021,161.7
1/3/2021,161.5
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
